fileCount,fileSize,totalBytes,c_mean,c_std,hsPlain_mean,hsPlain_std,hsStreamly_mean,hsStreamly_std
2500000,1,2500000,546.0160893999999,4.978718564772519,1441.2242614,4.773884186847535,1515.5901050799998,18.317459578275837
5000000,1,5000000,544.60488056,1.1987102605679085,1437.24478856,5.233361562472958,1503.363057,12.438375752187454
10000000,1,10000000,544.78785246,0.9244315860952163,1437.74310228,4.711814654415855,1504.0918865200001,18.81557511862208
2500000,100,250000000,5.4374622488,1.4698102440945854e-2,14.4485659844,0.10463527867877229,15.268038279999999,0.22033514978154015
5000000,100,500000000,5.4449940622,1.2117647497949366e-2,14.3640855392,8.485104860981954e-2,15.265680018199998,0.11599761353282936
10000000,100,1000000000,5.4475881672,1.1587633676220264e-2,14.369177762499998,7.733338643252488e-2,15.170976791600001,9.045446937783412e-2
2500000,1000,2500000000,0.58322724092,1.2865039471129786e-3,1.60155656944,9.050750656617914e-3,1.6819959705599998,1.6149922615608218e-2
5000000,1000,5000000000,0.58340220556,1.6126159896986871e-3,1.59480967076,1.1739759418298057e-2,1.67618618262,3.373821585620979e-2
10000000,1000,10000000000,0.58388705819,1.4260711358375679e-3,1.59885427822,1.150914345268258e-2,1.6686085225,4.683195469474172e-3
250000,10000,2500000000,0.12960797967999999,5.246051096994125e-4,0.27258269912,6.887606595909009e-3,0.2755351948,6.066244182494662e-3
500000,10000,5000000000,0.12876971386,7.154994897630374e-4,0.26697949758,5.488155832404809e-3,0.27295026466,3.3726934700084887e-3
1000000,10000,10000000000,0.12840000809000002,3.0512779034542266e-4,0.264530216,4.668968438326762e-3,0.27247042508999997,3.5622782798304595e-3
25000,100000,2500000000,8.06561886e-2,1.0657917904120218e-3,0.1853497084,1.3987580520967248e-2,0.20384498396,2.308766041109378e-2
50000,100000,5000000000,7.998498398000001e-2,1.0784379776374567e-3,0.19988998153999998,1.628404354892499e-2,0.20370954974000002,1.7757310773094365e-2
100000,100000,10000000000,7.959226136e-2,1.1383153128985853e-3,0.19775778843,1.4550485774764182e-2,0.19799100198,1.3591824893579942e-2
2500,1000000,2500000000,7.6171146e-2,9.918819535583525e-4,0.21956022352,3.6549112468026425e-2,0.22115580076,2.0704485217343575e-2
5000,1000000,5000000000,7.562101484e-2,1.0632661190808233e-3,0.21914554744,1.3543984691407386e-2,0.21193194194,2.2377023761475618e-2
10000,1000000,10000000000,7.496247509000001e-2,1.0019670046460497e-3,0.21141448019000003,1.7398130379753393e-2,0.19213472102,1.3360928837534846e-2
250,10000000,2500000000,7.674630244e-2,1.503122526599098e-3,0.22572729396,3.904612252522448e-2,0.2304785014,5.0278378880540237e-2
500,10000000,5000000000,7.512117614e-2,1.3371360406602337e-3,0.22775076570000002,3.1194328106588315e-2,0.22337448910000002,2.4493762856747765e-2
1000,10000000,10000000000,7.462273851e-2,1.1083792330171336e-3,0.2223653168,1.9719103107447337e-2,0.22776854835,1.639113327004235e-2
